Size,Function,Min,Max,Average
1000,P11_human,1.1299998732283711e-05,1.630000042496249e-05,1.3328000168257859e-05
1000,P11_chatgpt,0.0024505000001227017,0.0032546000002184883,0.0027519250000113973
10000,P11_human,1.1899999663000926e-05,2.229999881819822e-05,1.4712999800394754e-05
10000,P11_chatgpt,0.02548899999965215,0.03457370000251103,0.029205192000044917
1000000,P11_human,1.3600001693703234e-05,1.849999898695387e-05,1.5748000041639898e-05
1000000,P11_chatgpt,3.1162903000004007,3.7459693999990122,3.280494124999896
