Size,Function,Min,Average,Max
1000,p7_auto_Quicksort_strategy_chatgpt_prompts1,0.0536807000025874,0.05614991300011752,0.06041830000322079
1000,p7_auto_Quicksort_strategy_chatgpt_prompts2,0.0513756000000285,0.06008443899983831,0.07034549999661976
3000,p7_auto_Quicksort_strategy_chatgpt_prompts1,0.19335560000035912,0.20557051900010265,0.24204889999964507
3000,p7_auto_Quicksort_strategy_chatgpt_prompts2,0.20268190000206232,0.2202632669997547,0.29488250000576954
5000,p7_auto_Quicksort_strategy_chatgpt_prompts1,0.3528728000019328,0.366980243999933,0.4087392000001273
5000,p7_auto_Quicksort_strategy_chatgpt_prompts2,0.36675499999546446,0.3922766670004057,0.4407439999995404
