Size,Function,Min,Average,Max
100,p15_auto_pascal_triangle_strategy_chatgpt_prompts1,1.5300000086426735e-05,0.01414713499994832,0.0419434000068577
100,p15_auto_pascal_triangle_strategy_chatgpt_prompts2,1.5399986295960844e-05,0.014142058998986613,0.042153300004429184
200,p15_auto_pascal_triangle_strategy_chatgpt_prompts1,1.300001167692244e-05,0.058483870500785996,0.19821449999290053
200,p15_auto_pascal_triangle_strategy_chatgpt_prompts2,1.2899996363557875e-05,0.058234498999663625,0.17602280000573955
300,p15_auto_pascal_triangle_strategy_chatgpt_prompts1,1.3900003978051245e-05,0.13509187466683215,0.45890509999298956
300,p15_auto_pascal_triangle_strategy_chatgpt_prompts2,1.3700002455152571e-05,0.13511615233316357,0.438160899997456
