Size,Function,Min,Average,Max
1000,p6_auto_removingduplicates_strategy_chatgpt_prompts1,0.0013439999966067262,0.0014396720004879171,0.0018571000036899932
1000,p6_auto_removingduplicates_strategy_chatgpt_prompts2,0.006483400000433903,0.0067970980006066386,0.007440399996994529
3000,p6_auto_removingduplicates_strategy_chatgpt_prompts1,0.0064682999945944175,0.006999983000205248,0.007654100001673214
3000,p6_auto_removingduplicates_strategy_chatgpt_prompts2,0.020339800001238473,0.02120997800033365,0.022253800001635682
5000,p6_auto_removingduplicates_strategy_chatgpt_prompts1,0.017553600002429448,0.018940401999570894,0.02112450000277022
5000,p6_auto_removingduplicates_strategy_chatgpt_prompts2,0.03257260000100359,0.03388276700010465,0.03589550000469899
