Size,Function,Min,Average,Max
1000,p8_auto_reverse_list_list_strategy_chatgpt_prompts1,0.00015469999925699085,0.00017024100001435726,0.000269199998001568
1000,p8_auto_reverse_list_list_strategy_chatgpt_prompts2,0.00023800000053597614,0.00025991899972723333,0.00034389999927952886
10000,p8_auto_reverse_list_list_strategy_chatgpt_prompts1,0.0015280000006896444,0.0017087020001781638,0.002127999992808327
10000,p8_auto_reverse_list_list_strategy_chatgpt_prompts2,0.0022386999989976175,0.002440492999885464,0.0029458999997586943
1000000,p8_auto_reverse_list_list_strategy_chatgpt_prompts1,0.5428272999997716,0.6176614260001224,0.7100395999950706
1000000,p8_auto_reverse_list_list_strategy_chatgpt_prompts2,0.6022641000017757,0.7383564010000555,0.866139400000975
