Size,Function,Min,Average,Max
1000,p5_auto_find_duplicates_list_strategy_chatgpt_prompts1,0.00726839999697404,0.007818366999999852,0.011114399996586144
1000,p5_auto_find_duplicates_list_strategy_chatgpt_prompts2,0.0046249000006355345,0.004928675999908591,0.007126399999833666
10000,p5_auto_find_duplicates_list_strategy_chatgpt_prompts1,0.07867439999972703,0.08450922499985608,0.09356909999769414
10000,p5_auto_find_duplicates_list_strategy_chatgpt_prompts2,0.048785200000565965,0.05258673600001203,0.06533910000143806
1000000,p5_auto_find_duplicates_list_strategy_chatgpt_prompts1,26.688062100001844,27.88982771500021,30.437313900001755
1000000,p5_auto_find_duplicates_list_strategy_chatgpt_prompts2,22.484123800000816,23.400320390000417,24.33321799999976
