Size,Function,Min,Average,Max
1000,0_p13_auto_revere_linkedlist_strategy,2.369983121752739e-05,2.951689786277711e-05,6.429990753531456e-05
10000,0_p13_auto_revere_linkedlist_strategy,0.00018179998733103275,0.00025217600073665375,0.0006771001499146223
1000000,0_p13_auto_revere_linkedlist_strategy,0.020222899969667196,0.02949043779820204,0.05822820006869733
1000,1_p13_auto_revere_linkedlist_strategy,2.2900057956576347e-05,2.8784692520275714e-05,9.380001574754715e-05
10000,1_p13_auto_revere_linkedlist_strategy,0.00020859995856881142,0.00024969370546750727,0.00047309999354183674
1000000,1_p13_auto_revere_linkedlist_strategy,0.02051579998806119,0.026279019905021413,0.037190299946814775
1000,2_p13_auto_revere_linkedlist_strategy,2.3499829694628716e-05,2.9878197703510526e-05,9.640003554522991e-05
10000,2_p13_auto_revere_linkedlist_strategy,0.00021050008945167065,0.0002574145968537778,0.0005709000397473574
1000000,2_p13_auto_revere_linkedlist_strategy,0.02133830008096993,0.02753893409669399,0.041620299918577075
1000,3_p13_auto_revere_linkedlist_strategy,2.459995448589325e-05,2.9028896009549495e-05,0.00014599994756281376
10000,3_p13_auto_revere_linkedlist_strategy,0.00019569997675716877,0.00023791010095737877,0.00045590009540319443
1000000,3_p13_auto_revere_linkedlist_strategy,0.02123569999821484,0.030386903400765736,0.0518544998485595
