Size,Function,Min,Average,Max
1000,0_p9_auto_countfrequency_strategy,0.002496400000381982,0.004489841499958857,0.008809700000711018
10000,0_p9_auto_countfrequency_strategy,0.03026470000258996,0.0488157336000404,0.07156599999871105
100000,0_p9_auto_countfrequency_strategy,0.6245702999985951,0.8432825171000005,1.3652461000019684
1000,1_p9_auto_countfrequency_strategy,0.0025306999996246304,0.004544086300011259,0.007916800001112279
10000,1_p9_auto_countfrequency_strategy,0.030624400002125185,0.05152810780001528,0.09401300000172341
100000,1_p9_auto_countfrequency_strategy,0.632689300000493,0.8968974979999331,1.3988011999972514
1000,2_p9_auto_countfrequency_strategy,0.00254539999878034,0.004563764299979084,0.006209200000739656
10000,2_p9_auto_countfrequency_strategy,0.030082100001891376,0.04938941439994233,0.06420580000121845
100000,2_p9_auto_countfrequency_strategy,0.6292178999974567,0.8511162653999638,0.9646499000009499
1000,3_p9_auto_countfrequency_strategy,0.002488199999788776,0.00470922310007154,0.006978699999308446
10000,3_p9_auto_countfrequency_strategy,0.030227600000216626,0.050801488899985994,0.06872010000006412
100000,3_p9_auto_countfrequency_strategy,0.6387176999996882,0.8644330104999861,1.231495600000926
