Size,Function,Min,Average,Max
1000,0_p2_auto_find_duplicates_list_strategy,2.0200001017656177e-05,0.00155866239999159,0.005732100002205698
10000,0_p2_auto_find_duplicates_list_strategy,2.0200001017656177e-05,0.016237088099989704,0.05524489999879734
100000,0_p2_auto_find_duplicates_list_strategy,0.0003409999990253709,0.28723803279994176,0.8561334000005445
1000,1_p2_auto_find_duplicates_list_strategy,1.9800001609837636e-05,0.0019760084999761608,0.004909600000246428
10000,1_p2_auto_find_duplicates_list_strategy,9.299999874201603e-05,0.021613987800006722,0.05087959999946179
100000,1_p2_auto_find_duplicates_list_strategy,5.5500000598840415e-05,0.3636770686000164,0.8105008000020462
1000,2_p2_auto_find_duplicates_list_strategy,1.3500000932253897e-05,0.0021507807999987566,0.004595099999278318
10000,2_p2_auto_find_duplicates_list_strategy,1.710000287857838e-05,0.02435959929994715,0.046508299998095026
100000,2_p2_auto_find_duplicates_list_strategy,0.0012840000017604325,0.3823463083999123,0.8193548999988707
1000,3_p2_auto_find_duplicates_list_strategy,1.3100001524435356e-05,0.004113620499967509,0.03131090000169934
10000,3_p2_auto_find_duplicates_list_strategy,0.00017020000086631626,0.05279574209999192,0.38244379999741795
100000,3_p2_auto_find_duplicates_list_strategy,0.0006558999994012993,0.8543272017000201,5.964785399999528
