Size,Function,Min,Average,Max
1000,0_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.002678600139915943,0.0035509663955308494,0.006125700194388628
10000,0_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.03170390008017421,0.03857267840160057,0.05867599998600781
100000,0_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.3599466998130083,0.42705343529442324,0.634140299865976
1000,1_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.002602200023829937,0.0032378187011927366,0.0053356001153588295
10000,1_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.03034329996444285,0.03482461760169826,0.04436050006188452
100000,1_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.34886129992082715,0.38412201529974116,0.4450467999558896
1000,2_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.002755899913609028,0.004082513499073684,0.01754929986782372
10000,2_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.031147300032898784,0.0376685608981643,0.05629309988580644
100000,2_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.3453496000729501,0.40595659489952957,0.587855399819091
1000,3_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.0026984000578522682,0.0031593527037184683,0.0037263999693095684
10000,3_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.03124719997867942,0.034731435097288335,0.04177120001986623
100000,3_p12_auto_detect_ loop_in_linkedlist_strategy_ChatGPT_prompts,0.35017600003629923,0.38256915350398046,0.49992650002241135
