Size,Function,Min,Average,Max
1000,0_p10_auto_maximum_product_subarray_strategy,0.04305039999962901,0.06072802690002573,0.1046411999996053
2000,0_p10_auto_maximum_product_subarray_strategy,0.10605789999681292,0.18183390770002006,0.3315586999997322
5000,0_p10_auto_maximum_product_subarray_strategy,0.39613680000184104,0.9018950821000218,1.506234600001335
1000,1_p10_auto_maximum_product_subarray_strategy,0.04480329999933019,0.06937665289997313,0.10083429999940563
2000,1_p10_auto_maximum_product_subarray_strategy,0.13198589999956312,0.20951288130003012,0.40979929999957676
5000,1_p10_auto_maximum_product_subarray_strategy,0.39497949999713455,1.06865162410001,2.040520699996705
1000,2_p10_auto_maximum_product_subarray_strategy,0.038260200002696365,0.06257254290019044,0.08428519999870332
2000,2_p10_auto_maximum_product_subarray_strategy,0.13301379999757046,0.18990615799985971,0.2504190000036033
5000,2_p10_auto_maximum_product_subarray_strategy,0.47935950000101,0.9529395936999936,1.2661411999943084
1000,3_p10_auto_maximum_product_subarray_strategy,0.042741299999761395,0.07044599379986904,0.0891669999982696
2000,3_p10_auto_maximum_product_subarray_strategy,0.0913561999986996,0.21904459689992656,0.28609100000176113
5000,3_p10_auto_maximum_product_subarray_strategy,0.5886051999987103,1.1290837945001038,1.6420135000007576
