Size,Function,Min,Average,Max
1000,0_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.0008662000000185799,0.0011922583334025047,0.001731399999698624
10000,0_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.010117400001036003,0.012765504111149413,0.021445899998070672
100000,0_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.12459690000105184,0.14311374644446914,0.19749090000186698
0,0_p11_auto_find_middle_element_linkedlist_subarray_strategy,0,0.0,0
1000,1_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.0009806000016396865,0.0012028178334003315,0.0018514000003051478
10000,1_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.011559599999600323,0.013275992833344692,0.020298899999033893
100000,1_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.1281927000018186,0.14607654133335624,0.20295199999964098
0,1_p11_auto_find_middle_element_linkedlist_subarray_strategy,0,0.0,0
1000,2_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.0009237999984179623,0.0011832541999501703,0.0019811999991361517
10000,2_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.011506700000609271,0.013456487800020114,0.017265800001041498
100000,2_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.12967679999928805,0.14620706800007247,0.18174680000083754
0,3_p11_auto_find_middle_element_linkedlist_subarray_strategy,0,0.0,0
1000,3_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.0009620000018912833,0.0011806983748920174,0.0019646999971882906
10000,3_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.011193999998795334,0.013475359000017307,0.024062600001343526
100000,3_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.13273010000193608,0.15005913937505283,0.28149430000121356
