Size,Function,Min,Average,Max
1000,0_p15_auto_pascal_triangle_strategy,0.01917769992724061,0.02599485720111988,0.03333880007266998
10000,0_p15_auto_pascal_triangle_strategy,0.018925299867987633,0.026005688798846675,0.03692079987376928
1000000,0_p15_auto_pascal_triangle_strategy,0.018842800054699183,0.02597554250317626,0.03334470000118017
1000,1_p15_auto_pascal_triangle_strategy,0.018817299976944923,0.02718141829338856,0.04555889987386763
10000,1_p15_auto_pascal_triangle_strategy,0.018760900013148785,0.027187263399362567,0.03377039986662567
1000000,1_p15_auto_pascal_triangle_strategy,0.018632400082424283,0.027245057601248845,0.044331599958240986
1000,2_p15_auto_pascal_triangle_strategy,0.018604899989441037,0.35545030890172347,3.510828800033778
10000,2_p15_auto_pascal_triangle_strategy,0.018525700084865093,0.3594305661993567,3.770522200036794
1000000,2_p15_auto_pascal_triangle_strategy,0.018797999946400523,0.3674699497953989,3.9613250999245793
1000,3_p15_auto_pascal_triangle_strategy,0.018821700010448694,0.02550335419597104,0.044297700049355626
10000,3_p15_auto_pascal_triangle_strategy,0.018820099998265505,0.025501555200200525,0.03660429990850389
1000000,3_p15_auto_pascal_triangle_strategy,0.018608399899676442,0.02556396530591883,0.045037100091576576
