Size,Function,Min,Max,Average
1000,p12_detect_ loop_in_linkedlist_strategy_chatgpt_prompts1,0.004577099927701056,0.008679000078700483,0.005371013002004475
1000,p12_detect_ loop_in_linkedlist_strategy_chatgpt_prompts2,0.004613999975845218,0.005988699966110289,0.00524924099794589
1000,p12_detect_ loop_in_linkedlist_strategy_chatgpt_prompts3,0.004698299919255078,0.006261899950914085,0.005267555000027641
10000,p12_detect_ loop_in_linkedlist_strategy_chatgpt_prompts1,0.055301299900747836,0.06224530003964901,0.058077045006211844
10000,p12_detect_ loop_in_linkedlist_strategy_chatgpt_prompts2,0.05319460004102439,0.061886300100013614,0.057838363993214445
10000,p12_detect_ loop_in_linkedlist_strategy_chatgpt_prompts3,0.05426080001052469,0.060417599976062775,0.05768275199807249
1000000,p12_detect_ loop_in_linkedlist_strategy_chatgpt_prompts1,6.658801499987021,7.31902350008022,6.9685942220059225
1000000,p12_detect_ loop_in_linkedlist_strategy_chatgpt_prompts2,6.598229399998672,7.7230451999930665,6.929984993992839
1000000,p12_detect_ loop_in_linkedlist_strategy_chatgpt_prompts3,6.625950500019826,7.235116199939512,6.925692030997015
