Size,Function,Min,Max,Average
1000,p3_find_n_smallest_number_strategy_chatgpt_prompts1,0.006002700072713196,0.008850599988363683,0.006925505002727732
1000,p3_find_n_smallest_number_strategy_chatgpt_prompts2,0.009817799902521074,0.011594400042667985,0.010529223000630736
1000,p3_find_n_smallest_number_strategy_chatgpt_prompts3,0.0043811999494209886,0.005350599996745586,0.004742146998178214
10000,p3_find_n_smallest_number_strategy_chatgpt_prompts1,0.09427670005243272,0.1171879000030458,0.10892771099577658
10000,p3_find_n_smallest_number_strategy_chatgpt_prompts2,0.10678579995874316,0.11612470005638897,0.11024428500095382
10000,p3_find_n_smallest_number_strategy_chatgpt_prompts3,0.044386500027030706,0.04817600001115352,0.046002274001948534
1000000,p3_find_n_smallest_number_strategy_chatgpt_prompts1,24.80106289999094,38.49928029999137,34.13899367500679
1000000,p3_find_n_smallest_number_strategy_chatgpt_prompts2,23.874531799927354,39.505477700033225,28.947046106000197
1000000,p3_find_n_smallest_number_strategy_chatgpt_prompts3,6.750551800010726,10.554034700035118,8.527361988002667
