Size,Function,Min,Max,Average
1000,p4_sum_array_pairs_number_strategy_chatgpt_prompts1,0.007702399976551533,0.008388099959120154,0.007994232998462393
1000,p4_sum_array_pairs_number_strategy_chatgpt_prompts2,0.009103800053708255,0.010036700055934489,0.009476558996830135
1000,p4_sum_array_pairs_number_strategy_chatgpt_prompts3,0.013235299964435399,0.0144380999263376,0.013829345002304762
10000,p4_sum_array_pairs_number_strategy_chatgpt_prompts1,0.081146499956958,0.08825020003132522,0.08411050499766133
10000,p4_sum_array_pairs_number_strategy_chatgpt_prompts2,0.09467799996491522,0.11416969995480031,0.09853854399989359
10000,p4_sum_array_pairs_number_strategy_chatgpt_prompts3,0.1398439999902621,0.15281580004375428,0.14414730099146256
1000000,p4_sum_array_pairs_number_strategy_chatgpt_prompts1,19.047158700064756,26.448955600033514,21.805585338000675
1000000,p4_sum_array_pairs_number_strategy_chatgpt_prompts2,19.379485999932513,26.771402099984698,22.012401714990848
1000000,p4_sum_array_pairs_number_strategy_chatgpt_prompts3,31.5107761999825,38.18498299992643,33.44878926299978
