Size,Function,Min,Max,Average
1000,P13_human,8.799999704933725e-06,1.4600000213249587e-05,9.394000044267158e-06
1000,P13_chatgpt,4.050000097777229e-05,6.329999996523838e-05,4.3399000005592825e-05
10000,P13_human,8.799999704933725e-06,1.4100000043981709e-05,1.0013999981310917e-05
10000,P13_chatgpt,0.0003424000005907146,0.000571299999137409,0.00038974499990217736
1000000,P13_human,9.899998985929415e-06,2.3799999326001853e-05,1.1597000047913753e-05
1000000,P13_chatgpt,0.036194399999658344,0.04644129999905999,0.03826405199999499
