Size,Function,Min,Average,Max
1000,0_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.002243299997644499,0.0026188429999456277,0.003456999998888932
10000,0_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.02894889999879524,0.03208715911087994,0.03671159999794327
100000,0_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.2884034999879077,0.31656558888891595,0.409169299993664
1000,1_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.0022541999933309853,0.0025866819998433734,0.0034823000023607165
10000,1_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.028341999990516342,0.032156862333261725,0.03940189999411814
100000,1_p11_auto_find_middle_element_linkedlist_subarray_strategy,0.2876954000093974,0.3159160908330038,0.3877040999941528
