Size,Function,Min,Average,Max
1000,0_p15_auto_pascal_triangle_strategy,0.018418400082737207,0.025890620694495735,0.03434929996728897
10000,0_p15_auto_pascal_triangle_strategy,0.018714299891144037,0.02595630359789357,0.0475059999153018
1000000,0_p15_auto_pascal_triangle_strategy,0.01852439995855093,0.026089758398244157,0.04901150008663535
1000,1_p15_auto_pascal_triangle_strategy,0.01899420004338026,0.02728799689607695,0.042399399913847446
10000,1_p15_auto_pascal_triangle_strategy,0.018884100019931793,0.027228372998535633,0.038217300083488226
1000000,1_p15_auto_pascal_triangle_strategy,0.019022699911147356,0.0272923325013835,0.04140469990670681
