Size,Function,Min,Average,Max
1000,0_p2_auto_find_duplicate_number,1.3199984095990658e-05,0.0015967678003944454,0.005200699961278588
10000,0_p2_auto_find_duplicate_number,2.6399968191981316e-05,0.016389037999906576,0.05738740001106635
100000,0_p2_auto_find_duplicate_number,0.0012121000327169895,0.2827956526991329,0.8437220999621786
1000,1_p2_auto_find_duplicate_number,1.2699980288743973e-05,0.0014222155995084905,0.0048726999666541815
10000,1_p2_auto_find_duplicate_number,1.3699987903237343e-05,0.014419778099283576,0.049095200025476515
100000,1_p2_auto_find_duplicate_number,0.00022759998682886362,0.27932898109959203,0.8274349999846891
