Size,Function,Min,Average,Max
1000,0_p6_auto_removingduplicates_strategy,0.0010622999398037791,0.0018957463982515036,0.004698500037193298
10000,0_p6_auto_removingduplicates_strategy,0.0256952999625355,0.034715629697777334,0.05873539997264743
100000,0_p6_auto_removingduplicates_strategy,0.522441300097853,0.5929170307982712,0.7728803000645712
1000,1_p6_auto_removingduplicates_strategy,0.0010766999330371618,0.0036642747989390047,0.005541599937714636
10000,1_p6_auto_removingduplicates_strategy,0.029088499955832958,0.04638122659979855,0.05880969995632768
100000,1_p6_auto_removingduplicates_strategy,0.5245016999542713,0.7346050071015489,0.9303551999619231
