Size,Function,Min,Average,Max
1000,0_p10_auto_maximum_product_subarray_strategy,0.0423307,0.060017151,0.1008449
2000,0_p10_auto_maximum_product_subarray_strategy,0.0864798,0.180467424,0.2903296
5000,0_p10_auto_maximum_product_subarray_strategy,0.4053944,0.900415674,1.4130688
1000,1_p10_auto_maximum_product_subarray_strategy,0.0447726,0.067862415,0.1106843
2000,1_p10_auto_maximum_product_subarray_strategy,0.1321706,0.208924672,0.3522473
5000,1_p10_auto_maximum_product_subarray_strategy,0.4176418,1.078360053,2.2753047
