Size,Function,Min,Average,Max
1000,0_p13_auto_revere_linkedlist_strategy,3.979999746661633e-05,4.634180005814414e-05,0.00013549999857787043
10000,0_p13_auto_revere_linkedlist_strategy,0.000370699999621138,0.00045089300004474357,0.0016853999986778945
1000000,0_p13_auto_revere_linkedlist_strategy,0.03558470000280067,0.039282811100027175,0.05490770000324119
1000,1_p13_auto_revere_linkedlist_strategy,4.020000051241368e-05,4.751449979085009e-05,0.00010359998850617558
10000,1_p13_auto_revere_linkedlist_strategy,0.00037909999082330614,0.00046195640000223643,0.0010993000032613054
1000000,1_p13_auto_revere_linkedlist_strategy,0.035572799999499694,0.04069934330010438,0.07625300000654534
