Size,Function,Min,Average,Max
1000,0_p1_auto_find_missing_number,0.0002082999562844634,0.0006163998987758532,0.0045801999513059855
10000,0_p1_auto_find_missing_number,0.0019655999494716525,0.006166304899030365,0.045930500025860965
100000,0_p1_auto_find_missing_number,0.10416029999032617,0.16682191760046405,0.5216991000343114
1000,1_p1_auto_find_missing_number,0.0002082999562844634,0.00022739549935795367,0.0005020999815315008
10000,1_p1_auto_find_missing_number,0.00196170003619045,0.0020964026986621314,0.002618099912069738
100000,1_p1_auto_find_missing_number,0.10616189998108894,0.13075377190473955,0.1502617000369355
