Size,Function,Min,Average,Max
1000,0_p9_auto_countfrequency_strategy,0.002410899964161217,0.0037394056008197367,0.007803100044839084
10000,0_p9_auto_countfrequency_strategy,0.027822699979878962,0.04138857279950752,0.06043750001117587
100000,0_p9_auto_countfrequency_strategy,0.6037893000757322,0.7554031546986661,0.8629308000672609
1000,1_p9_auto_countfrequency_strategy,0.00238540000282228,0.002604662299971096,0.00463900004979223
10000,1_p9_auto_countfrequency_strategy,0.027730299974791706,0.029377472500666045,0.042665100074373186
100000,1_p9_auto_countfrequency_strategy,0.6018422999186441,0.6250272348999278,0.6819435000652447
