Size,Function,Min,Average,Max
1000,0_p4_auto_sum_array_pairs,0.00524530000075174,0.008035348200015505,0.01540000000022701
10000,0_p4_auto_sum_array_pairs,0.06396649999987858,0.08682324300001165,0.16770480000013777
100000,0_p4_auto_sum_array_pairs,0.9584042000005866,1.2919729651000105,1.9272934000000532
1000,1_p4_auto_sum_array_pairs,0.005350600000383565,0.008426860899993699,0.01689299999998184
10000,1_p4_auto_sum_array_pairs,0.06187529999988328,0.08996082490000298,0.14358419999916805
100000,1_p4_auto_sum_array_pairs,0.9330900999993901,1.400447139299964,2.036983500000133
