Size,Function,Min,Average,Max
200,0_p3_auto_find_n_smallest_number,0.000659500015899539,0.028388752554698533,0.08809219999238849
300,0_p3_auto_find_n_smallest_number,0.0008802999509498477,0.061652181110111996,0.19681100000161678
600,0_p3_auto_find_n_smallest_number,0.0016550000291317701,0.2463261663298019,0.7735059999395162
200,1_p3_auto_find_n_smallest_number,0.0005928999744355679,0.000761651700711809,0.0013877000892534852
300,1_p3_auto_find_n_smallest_number,0.0008569000056013465,0.001029824895551428,0.0020199998980388045
600,1_p3_auto_find_n_smallest_number,0.0015963000478222966,0.00182730759808328,0.0032432000152766705
